// Nightmare

//============================
//Map Drop
//Map	Drop	MinDrop	MaxDrop
//============================
0
0	0	0	1000	//Lorencia
1	0	0	1000	//Dungeon
2	0	0	1000	//Devias
3	0	0	1000	//Noria
4	0	0	1000	//LostTower
5	0	0	1000	//Exile
6	0	0	1000	//Arena
7	0	0	1000	//Atlans
8	0	0	1000	//Tarkan
9	0	0	1000	//DevilSquare
10	0	0	1000	//Icarus
end

//=========================================================================
//Drop Options
//Name			ZenAmount	ItemType	Index	ItemLvl	DropRate NormDrop	ExcDrop
//=========================================================================
1
"Nightmare"		1000000		0	0	 0	 0	 100	  	1
end

//==================================================================
//Item Drops
//Type	Item	MinLvl	MaxLvl	Skill	Luck	Option	Exc	Name
//==================================================================
2
7	29	0	0	0	1	1	1	//Dragon Knight Helm
7	30	0	0	0	1	1	1	//Venom Mist Helm
7	31	0	0	0	1	1	1	//Sylphid Ray Helm
7	33	0	0	0	1	1	1	//Sunlight Helm
7	45	0	0	0	1	1	1	//Titan Helm
7	46	0	0	0	1	1	1	//Brave Helm
7	49	0	0	0	1	1	1	//Seraphim Helm
7	50	0	0	0	1	1	1	//Faith Helm
7	51	0	0	0	1	1	1	//Royal Helm
7	52	0	0	0	1	1	1	//Hades Helm
8	29	0	0	0	1	1	1	//Dragon Knight Armor
8	30	0	0	0	1	1	1	//Venom Mist Armor
8	31	0	0	0	1	1	1	//Sylphid Ray Armor
8	32	0	0	0	1	1	1	//Volcano Armor
8	33	0	0	0	1	1	1	//Sunlight Armor
8	45	0	0	0	1	1	1	//Titan Armor
8	46	0	0	0	1	1	1	//Brave Armor
8	47	0	0	0	1	1	1	//Phantom Armor
8	48	0	0	0	1	1	1	//Destroyer Armor
8	49	0	0	0	1	1	1	//Seraphim Armor
8	50	0	0	0	1	1	1	//Faith Armor
8	51	0	0	0	1	1	1	//Royal Armor
8	52	0	0	0	1	1	1	//Hades Armor
9	29	0	0	0	1	1	1	//Dragon Knight Pants
9	30	0	0	0	1	1	1	//Venom Mist Pants
9	31	0	0	0	1	1	1	//Sylphid Ray Pants
9	32	0	0	0	1	1	1	//Volcano Pants
9	33	0	0	0	1	1	1	//Sunlight Pants
9	45	0	0	0	1	1	1	//Titan Pants
9	46	0	0	0	1	1	1	//Brave Pants
9	47	0	0	0	1	1	1	//Phantom Pants
9	48	0	0	0	1	1	1	//Destroyer Pants
9	49	0	0	0	1	1	1	//Seraphim Pants
9	50	0	0	0	1	1	1	//Faith Pants
9	51	0	0	0	1	1	1	//Royal Pants
9	52	0	0	0	1	1	1	//Hades Pants
10	29	0	0	0	1	1	1	//Dragon Knight Gloves
10	30	0	0	0	1	1	1	//Venom Mist Gloves
10	31	0	0	0	1	1	1	//Sylphid Ray Gloves
10	32	0	0	0	1	1	1	//Volcano Gloves
10	33	0	0	0	1	1	1	//Sunlight Gloves
10	45	0	0	0	1	1	1	//Titan Gloves
10	46	0	0	0	1	1	1	//Brave Gloves
10	47	0	0	0	1	1	1	//Phantom Gloves
10	48	0	0	0	1	1	1	//Destroyer Gloves
10	49	0	0	0	1	1	1	//Seraphim Gloves
10	50	0	0	0	1	1	1	//Faith Gloves
10	51	0	0	0	1	1	1	//Royal Gloves
10	52	0	0	0	1	1	1	//Hades Gloves
11	29	0	0	0	1	1	1	//Dragon Knight Boots
11	30	0	0	0	1	1	1	//Venom Mist Boots
11	31	0	0	0	1	1	1	//Sylphid Ray Boots
11	32	0	0	0	1	1	1	//Volcano Boots
11	33	0	0	0	1	1	1	//Sunlight Boots
11	45	0	0	0	1	1	1	//Titan Boots
11	46	0	0	0	1	1	1	//Brave Boots
11	47	0	0	0	1	1	1	//Phantom Boots
11	48	0	0	0	1	1	1	//Destroyer Boots
11	49	0	0	0	1	1	1	//Seraphim Boots
11	50	0	0	0	1	1	1	//Faith Boots
11	51	0	0	0	1	1	1	//Royal Boots
11	52	0	0	0	1	1	1	//Hades Boots
end
