//----------------------------------------------------------------------------------------------------------
// PointItemOption (Before: PCBangPointItemOpt)
//----------------------------------------------------------------------------------------------------------
// BuyP		= Buy Points (ON CLIENT SIDE: 'ItemPoint.bmd' File)
//----------------------------------------------------------------------------------------------------------
// CondP	= Condition Points (NOT IN USE)
// Ab		= Ability (USED BY SEALS)
// KTSec	= Keep Time in Seconds (USED BY SEALS)
// %AddExp	= Percent of Add Experience (USED BY SEALS)
// %GetIt	= I don't know (USED BY SEALS)
// NoMoreExp	= Condition for Seals Extra Experience (USED BY SEALS)
//----------------------------------------------------------------------------------------------------------
// NOTE: THIS FILE MUST BE EDITED WITH THE SAME ITEMS THAT: 'Shop14.txt File'
//----------------------------------------------------------------------------------------------------------
//Type	Index	BuyP	CondP	Ab	KTSec	%AddExp	%GetIt	NoMoreExp	ItemName
//----------------------------------------------------------------------------------------------------------
0									
13	43	6	0	1	1800	150	0	0		//Seal of Ascension
13	44	9	0	1	1800	150	200	0		//Seal of Wealth
13	45	15	0	1	1800	0	0	1		//Seal of Sustenance
14	55	9	0	0	0	0	0	0		//Green Chaos Box
14	56	15	0	0	0	0	0	0		//Red Chaos Box
14	57	30	0	0	0	0	0	0		//Purple Chaos Box
13	10	10	0	0	0	0	0	0		//Transformation Ring
13	12	20	0	0	0	0	0	0		//Pendant of Lightning
13	13	20	0	0	0	0	0	0		//Pendant of Fire
13	21	50	0	0	0	0	0	0		//Ring of Fire
13	22	50	0	0	0	0	0	0		//Ring of Earth
13	23	50	0	0	0	0	0	0		//Ring of Wind
13	52	70	0	0	0	0	0	0		//Flame of Condor
13	64	70	0	0	0	0	0	0		//Demon Pet
13	65	70	0	0	0	0	0	0		//Fairy Pet
13	67	70	0	0	0	0	0	0		//Rudolf Pet
13	80	70	0	0	0	0	0	0		//Panda Pet
13	97	70	0	0	0	0	0	0		//Dark Wolf Pet
13	98	70	0	0	0	0	0	0		//Sable Fang Pet
13	153	100	0	0	0	0	0	0		//Ring of Chaos
13	154	150	0	0	0	0	0	0		//Ring of Bless
13	155	250	0	0	0	0	0	0		//Ring of Soul
14	27	250	0	0	0	0	0	0		//Ancient Metal
14	21	300	0	0	0	0	0	0		//Rena
end
