//----------------------------------------------------------------------------------------------------------
// Hanzo The BlackSmith
//----------------------------------------------------------------------------------------------------------
//Type	Index	Lvl	Dur	Skill	Luck	Opt	Exc	Anc	Name
//----------------------------------------------------------------------------------------------------------
7 	1 	3 	255 	0 	1	0	0	0	// Dragon Helm
7 	0 	3 	255 	0 	1	0 	0	0	// Bronze Helm
8 	1 	3	255 	0 	1	0 	0	0	// Dragon Armor
8 	0 	3 	255 	0 	1	0	0	0	// Bronze Armor
9 	1 	3 	255 	0 	1	0 	0	0	// Dragon Pants
9 	0 	3 	255 	0 	1	0 	0	0	// Bronze Pants
10 	1 	3 	255	0 	1	0	0	0	// Dragon Gloves
10 	0 	3 	255 	0 	1	0 	0	0	// Bronze Gloves
11 	1 	3 	255	0 	1	0 	0	0	// Dragon Boots
11 	0 	3 	255 	0 	1	0 	0	0	// Bronze Boots
0 	13 	3 	255	1 	0	0 	0	0	// Double Blade
0 	14 	3 	255 	1 	0	0 	0	0	// Lighting Sword
12 	13 	0	255 	0 	0	0 	0	0	// Impale
end
