//----------------------------------------------------------------------------------------------------------
// Elf Lala
//----------------------------------------------------------------------------------------------------------
//Type	Index	Lvl	Dur	Skill	Luck	Opt	Exc	Anc	Name
//----------------------------------------------------------------------------------------------------------
14	3	 0	50	 0	 0	 0	 0 	0	//Large Healing Potion
14 	6 	 0 	50 	 0 	 0 	 0 	 0	0	//Large Mana Potion
13 	0	 0	255	 0	 0	 0	 0	0	//Angel
13 	1	 0	255	 0	 0	 0	 0	0	//Satan
4 	15 	 0 	255 	 0 	 0 	 0 	 0	0	//Arrows
4 	7 	 0 	255 	 0 	 0 	 0 	 0	0	//Bolts
7 	11	 3	255	 0	 1	 0	 0	0	//Silk Helm
8 	11	 3	255	 0	 1	 0	 0	0	//Silk Armor
9 	11	 3	255	 0	 1	 0	 0	0	//Silk Pants
10 	11	 3	255	 0	 1	 0	 0	0	//Silk Gloves
11 	11	 3	255	 0	 1	 0	 0	0	//Silk Boots
7 	14	 3	255	 0	 1	 0	 0	0	//Guardian Helm
8 	14	 3	255	 0	 1	 0	 0	0	//Guardian Armor
9 	14	 3	255	 0	 1	 0	 0	0	//Guardian Pants
10 	14	 3	255	 0	 1	 0	 0	0	//Guardian Gloves
11 	14	 3	255	 0	 1	 0	 0	0	//Guardian Boots
12 	11	 0 	255	 0	 0	 0	 0	0	//Goblin Summon Orb
12 	11	 1	255	 0	 0	 0	 0	0	//Golem Summon Orb
12 	11	 2	255	 0	 0	 0	 0	0	//Assassin Summon Orb
12 	11	 3	255 	 0 	 0 	 0 	 0	0	//Elite Yeti Summon Orb
end
