//--------------------------------------------------------------------------------------------------------
// Rhea (Elbeland)
//--------------------------------------------------------------------------------------------------------
//Type	Index	Lvl	Dur	Skill	Luck	Opt	Exc	Anc	Name
//--------------------------------------------------------------------------------------------------------
7	39	3	255	0	1	0	0	0	//Violent Wind Helm
7 	42 	3 	255 	0	1 	0 	0	0	//Black Rose Helm
8	39	3	255	0	1	0	0	0	//Violent Wind Armor
8 	42 	3 	255 	0 	1 	0 	0	0	//Black Rose Armor
9	39	3	255	0	1	0	0	0	//Violent Wind Pants
9	42	3	255	0	1	0	0	0	//Black Rose Pants
10	39	3	255	0	1	0	0	0	//Violent Wind Gloves
10	42	3	255	0	1	0	0	0	//Black Rose Gloves
11	39	3	255	0	1	0	0	0	//Violent Wind Gloves
11	42	3	255	0	1	0	0	0	//Black Rose Boots
15	19	0	0	0	0	0	0	0	//Scroll of Drain Life
15	20	0	0	0	0	0	0	0	//Scroll of Chain Lightning
end
