//-----------------------------------------------------------------------------------------------------------
// Wandering Merchant
//-----------------------------------------------------------------------------------------------------------
//Type	Index	Lvl	Dur	Skill	Luck	Opt	Exc	Anc	Name
//-----------------------------------------------------------------------------------------------------------
13 	0 	0 	255 	0 	0 	0 	0 	0	//Angel
13 	1 	0 	255 	0 	0 	0 	0 	0	//Satan
14 	3 	0 	50 	0 	0 	0 	0 	0	//Large Healing Potion
14 	6 	0 	50 	0 	0 	0 	0 	0	//Large Mana Potion
8 	15 	3 	255 	0 	1 	0 	0 	0	//Storm Crow Armor
8 	20 	3 	255 	0 	1 	0 	0 	0	//Thunder Hawk Armor
9 	15 	3 	255 	0 	1 	0 	0 	0	//Storm Crow Pants
9 	20 	3 	255 	0 	1 	0 	0 	0	//Thunder Hawk Pants
10 	15 	3 	255	0 	1 	0 	0 	0	//Storm Crow Gloves
10 	20 	3 	255 	0 	1 	0 	0 	0	//Thunder Hawk Gloves
11 	15 	3 	255 	0 	1 	0 	0	0	//Storm Crow Boots
11 	20 	3 	255 	0 	1 	0 	0 	0	//Thunder Hawk Boots
0	31	3	255	1	0	0	0	0	//Rune Blade
end
