//----------------------------------------------------------------------------------------------------------
// Eo the Craftsman
//----------------------------------------------------------------------------------------------------------
//Type	Index	Lvl	Dur	Skill	Luck	Opt	Exc	Anc	Name
//----------------------------------------------------------------------------------------------------------
13 	0 	0 	255 	0 	0 	0 	0 	0	//Angel
13 	1 	0 	255 	0 	0 	0 	0 	0	//Satan
14 	3 	0 	50 	0 	0 	0 	0 	0	//Large Healing Potion
14 	6 	0 	50 	0 	0 	0 	0 	0	//Large Mana Potion
4	2	3	255	1	0	0	0	0	//Elven Bow
4	5	3	255	1	0	0	0	0	//Silver Bow
4	9	3	255	1	0	0	0	0	//Golden CrossBow
4	11	3	255	1	0	0	0	0	//Light CrossBow
0	0	3	255	0	1	0	0	0	//Kris
6	3	3	255	0	1	0	0	0	//Elven Shield
end
